Completeness:,72.72%
Generalization:,6
Correctness:    ,      Precision: 0.96           Recall: 0.66           F-Score: nil
Completeness of Sketch Map:,,,ID: sketchmap
Spatial Features,Features in Base map,Drawn Features,Completeness (%)
Street segments,22,21,95.45
Landmarks,8,4,50
Missing Features / Extra Features,4,0,0
Overall Completeness:,,,72.72
Generalization :
Type,Count
Streets
Omission Merge,0
Omission Merge (Multi-Multi),1
Abstraction to show existence,1
Junctions
Junction Merge,0
Roundabout Collapse,0
Buildings
Collapse,0
Amalgamation,2
Abstraction to show existence,2
Correctness of sketch map:
Considered Qulitative Spatial Aspects,Relations in Base Map,Relation in Sketch Map,Correct Relations,Wrong Relations,Missing Relations,Accuracy Rate (%)
Topological Relations between Landmarks and Regions,28,6,6,0,22,100
Linear Ordering of Landmarks along Street-segments,21,6,3,0,18,50
Left-Right Relations of Landmarks wrt. Street-segments,12,7,5,0,7,71.43
Topological Relations between Street-segments and Regions/Landmarks,176,84,84,0,92,100
Connectivity of Street-segments,231,210,210,0,21,100
Relative Orientation of Connected Street-segments,37,34,24,10,3,70.59
