Completeness:,68.53%
Generalization:,6
Correctness:    ,      Precision: 0.88           Recall: 0.42           F-Score: nil
Completeness of Sketch Map:,,,ID: sketchmap
Spatial Features,Features in Base map,Drawn Features,Completeness (%)
Street segments,32,21,65.62
Landmarks,14,10,71.43
Missing Features / Extra Features,18,0,0
Overall Completeness:,,,68.53
Generalization :
Type,Count
Streets
Omission Merge,1
Omission Merge (Multi-Multi),0
Abstraction to show existence,0
Junctions
Junction Merge,2
Roundabout Collapse,0
Buildings
Collapse,1
Amalgamation,2
Abstraction to show existence,0
Correctness of sketch map:
Considered Qulitative Spatial Aspects,Relations in Base Map,Relation in Sketch Map,Correct Relations,Wrong Relations,Missing Relations,Accuracy Rate (%)
Topological Relations between Landmarks and Regions,91,45,36,0,55,80
Linear Ordering of Landmarks along Street-segments,91,45,35,1,55,77.78
Left-Right Relations of Landmarks wrt. Street-segments,25,20,12,4,9,60
Topological Relations between Street-segments and Regions/Landmarks,448,210,189,0,259,90
Connectivity of Street-segments,496,210,208,2,286,99.05
Relative Orientation of Connected Street-segments,46,39,18,19,9,46.15
