Object 1, Object 2, Relations
 ,RCC8, 
12,22,disconnected
12,16,disconnected
12,18,disconnected
13,15,disconnected
13,17,disconnected
13,21,disconnected
13,23,disconnected
13,19,disconnected
13,14,connected
13,10,connected
13,0,disconnected
13,20,disconnected
13,22,disconnected
13,16,disconnected
13,18,disconnected
15,17,connected
15,21,disconnected
15,23,disconnected
15,19,connected
15,14,connected
15,10,disconnected
15,0,disconnected
15,20,disconnected
15,22,disconnected
15,16,connected
15,18,connected
17,21,disconnected
17,23,disconnected
17,19,disconnected
17,14,disconnected
17,10,disconnected
17,0,disconnected
17,20,disconnected
17,22,disconnected
17,16,connected
17,18,connected
21,23,disconnected
21,19,disconnected
21,14,disconnected
21,10,disconnected
21,0,disconnected
21,20,connected
21,22,connected
21,16,disconnected
21,18,disconnected
23,19,disconnected
23,14,disconnected
23,10,disconnected
23,0,disconnected
23,20,disconnected
23,22,connected
23,16,connected
23,18,disconnected
19,14,connected
19,10,disconnected
19,0,disconnected
19,20,disconnected
19,22,disconnected
19,16,disconnected
19,18,disconnected
14,10,connected
14,0,disconnected
14,20,disconnected
14,22,disconnected
14,16,disconnected
14,18,disconnected
10,0,disconnected
10,20,disconnected
10,22,disconnected
10,16,disconnected
10,18,disconnected
0,20,connected
0,22,disconnected
0,16,disconnected
0,18,disconnected
20,22,connected
20,16,disconnected
20,18,disconnected
22,16,connected
22,18,disconnected
16,18,connected
 ,linearOrdering, 
7,8,overlaps
7,24,before
7,25,before
7,26,before
7,27,before
8,24,overlapped_by
8,25,overlapped_by
8,26,overlapped_by
8,27,overlapped_by
24,25,overlapped_by
24,26,overlaps
24,27,overlapped_by
25,26,overlaps
25,27,after
26,27,after
