BaseId , SketchId , Generalization Type
0,S0,No generalization
1,S1,No generalization
38 36 34 25,S2,OmissionMergeRoundAboutCollapse
21,S3,RoundAboutCollapse
23 28 30 31,S4,OmissionMergeRoundAboutCollapse
2,S5,No generalization
3,S6,No generalization
4,S7,No generalization
5,S8,No generalization
6,S9,No generalization
7,S10,No generalization
8,S11,No generalization
9,S12,No generalization
10,S13,No generalization
11,S14,No generalization
18 20,S15,OmissionMerge
12,S16,No generalization
13,S17,No generalization
14,S18,No generalization
15,S19,No generalization
16,S20,No generalization
17,S21,No generalization
45,S22,No generalization
44,S23,No generalization
43,S24,No generalization
78,S25,Collapse
42,S26,Collapse
105,S27,Collapse
109,S28,Collapse
39,S29,No generalization
46,S30,No generalization
Features missing in sketch map, 19,22,24,26,27,29,32,33,35,37,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,106,107,108,110
Features drawn extra in sketch map, 
