Object 1 , Object 2, Relations
 ,RCC8, 
26,13,disjoint
26,16,disjoint
26,17,disjoint
26,11,disjoint
26,9,disjoint
26,18,disjoint
26,23,disjoint
26,21,disjoint
26,14,disjoint
26,15,disjoint
26,10,disjoint
26,12,disjoint
26,G2,disjoint
26,22,disjoint
26,0,disjoint
26,20,disjoint
26,19,disjoint
27,13,disjoint
27,16,disjoint
27,17,disjoint
27,11,disjoint
27,9,disjoint
27,18,disjoint
27,23,disjoint
27,21,disjoint
27,14,disjoint
27,15,disjoint
27,10,disjoint
27,12,disjoint
27,G2,disjoint
27,22,disjoint
27,0,disjoint
27,20,disjoint
27,19,disjoint
24,13,disjoint
24,16,disjoint
24,17,disjoint
24,11,disjoint
24,9,disjoint
24,18,disjoint
24,23,disjoint
24,21,disjoint
24,14,disjoint
24,15,disjoint
24,10,disjoint
24,12,disjoint
24,G2,disjoint
24,22,disjoint
24,0,disjoint
24,20,disjoint
24,19,disjoint
 ,leftRight, 
16,110111,right
16,110112,right
16,110113,right
16,110114,right
16,110115,right
16,110116,right
16,110117,right
16,110118,nonAdjacent
16,110119,nonAdjacent
16,110120,nonAdjacent
16,7,nonAdjacent
16,8,nonAdjacent
16,25,left
16,26,nonAdjacent
16,27,nonAdjacent
16,24,right
18,110111,nonAdjacent
18,110112,right
18,110113,right
18,110114,right
18,110115,right
18,110116,right
18,110117,right
18,110118,nonAdjacent
18,110119,nonAdjacent
18,110120,nonAdjacent
18,7,nonAdjacent
18,8,nonAdjacent
18,25,left
18,26,left
18,27,nonAdjacent
18,24,crosses
14,110111,nonAdjacent
14,110112,left
14,110113,left
14,110114,left
14,110115,left
14,110116,left
14,110117,left
14,110118,nonAdjacent
14,110119,nonAdjacent
14,110120,nonAdjacent
14,7,nonAdjacent
14,8,nonAdjacent
14,25,nonAdjacent
14,26,nonAdjacent
14,27,nonAdjacent
14,24,nonAdjacent
10,110111,nonAdjacent
10,110112,nonAdjacent
10,110113,nonAdjacent
10,110114,nonAdjacent
10,110115,nonAdjacent
10,110116,nonAdjacent
10,110117,nonAdjacent
10,110118,nonAdjacent
10,110119,nonAdjacent
10,110120,left
10,7,nonAdjacent
10,8,nonAdjacent
10,25,nonAdjacent
10,26,nonAdjacent
10,27,nonAdjacent
10,24,nonAdjacent
G2,110111,nonAdjacent
G2,110112,nonAdjacent
G2,110113,nonAdjacent
G2,110114,nonAdjacent
G2,110115,nonAdjacent
G2,110116,nonAdjacent
G2,110117,nonAdjacent
G2,110118,left
G2,110119,left
G2,110120,nonAdjacent
G2,7,nonAdjacent
G2,8,left
G2,25,nonAdjacent
G2,26,nonAdjacent
G2,27,nonAdjacent
G2,24,nonAdjacent
22,110111,left
22,110112,nonAdjacent
22,110113,nonAdjacent
22,110114,nonAdjacent
22,110115,nonAdjacent
22,110116,nonAdjacent
22,110117,nonAdjacent
22,110118,nonAdjacent
22,110119,nonAdjacent
22,110120,nonAdjacent
22,7,nonAdjacent
22,8,nonAdjacent
22,25,nonAdjacent
22,26,nonAdjacent
22,27,nonAdjacent
22,24,nonAdjacent
0,110111,nonAdjacent
0,110112,nonAdjacent
0,110113,nonAdjacent
0,110114,nonAdjacent
0,110115,nonAdjacent
0,110116,nonAdjacent
0,110117,nonAdjacent
0,110118,left
0,110119,nonAdjacent
0,110120,nonAdjacent
0,7,left
0,8,nonAdjacent
0,25,nonAdjacent
0,26,nonAdjacent
0,27,nonAdjacent
0,24,crosses
20,110111,nonAdjacent
20,110112,nonAdjacent
20,110113,nonAdjacent
20,110114,nonAdjacent
20,110115,nonAdjacent
20,110116,nonAdjacent
20,110117,nonAdjacent
20,110118,nonAdjacent
20,110119,nonAdjacent
20,110120,nonAdjacent
20,7,nonAdjacent
20,8,nonAdjacent
20,25,nonAdjacent
20,26,nonAdjacent
20,27,nonAdjacent
20,24,left
19,110111,nonAdjacent
19,110112,nonAdjacent
19,110113,left
19,110114,left
19,110115,left
19,110116,left
19,110117,left
19,110118,nonAdjacent
19,110119,nonAdjacent
19,110120,nonAdjacent
19,7,nonAdjacent
19,8,nonAdjacent
19,25,nonAdjacent
19,26,nonAdjacent
19,27,nonAdjacent
19,24,nonAdjacent
 ,opra, 
13,16,nonAdjacent
13,17,nonAdjacent
13,11,nonAdjacent
13,9,nonAdjacent
13,18,nonAdjacent
13,23,nonAdjacent
13,21,nonAdjacent
13,14,right_of
13,15,nonAdjacent
13,10,right_of
13,12,front_of
13,G2,nonAdjacent
13,22,nonAdjacent
13,0,nonAdjacent
13,20,nonAdjacent
13,19,nonAdjacent
16,17,right_of
16,11,nonAdjacent
16,9,nonAdjacent
16,18,right_of
16,23,right_of
16,21,nonAdjacent
16,14,nonAdjacent
16,15,front_of
16,10,nonAdjacent
16,12,nonAdjacent
16,G2,nonAdjacent
16,22,left_of
16,0,nonAdjacent
16,20,nonAdjacent
16,19,nonAdjacent
17,11,left_of
17,9,nonAdjacent
17,18,front_of
17,23,nonAdjacent
17,21,nonAdjacent
17,14,nonAdjacent
17,15,left_of
17,10,nonAdjacent
17,12,left_of
17,G2,nonAdjacent
17,22,nonAdjacent
17,0,nonAdjacent
17,20,nonAdjacent
17,19,nonAdjacent
11,9,nonAdjacent
11,18,nonAdjacent
11,23,nonAdjacent
11,21,nonAdjacent
11,14,nonAdjacent
11,15,nonAdjacent
11,10,nonAdjacent
11,12,front_of
11,G2,nonAdjacent
11,22,nonAdjacent
11,0,left_of
11,20,front_of
11,19,nonAdjacent
9,18,nonAdjacent
9,23,nonAdjacent
9,21,nonAdjacent
9,14,nonAdjacent
9,15,nonAdjacent
9,10,right_of
9,12,nonAdjacent
9,G2,half_right
9,22,nonAdjacent
9,0,nonAdjacent
9,20,nonAdjacent
9,19,nonAdjacent
18,23,nonAdjacent
18,21,nonAdjacent
18,14,nonAdjacent
18,15,left_of
18,10,nonAdjacent
18,12,nonAdjacent
18,G2,nonAdjacent
18,22,nonAdjacent
18,0,nonAdjacent
18,20,nonAdjacent
18,19,nonAdjacent
23,21,nonAdjacent
23,14,nonAdjacent
23,15,nonAdjacent
23,10,nonAdjacent
23,12,nonAdjacent
23,G2,nonAdjacent
23,22,right_of
23,0,nonAdjacent
23,20,nonAdjacent
23,19,nonAdjacent
21,14,nonAdjacent
21,15,nonAdjacent
21,10,nonAdjacent
21,12,nonAdjacent
21,G2,nonAdjacent
21,22,left_of
21,0,nonAdjacent
21,20,front_of
21,19,nonAdjacent
14,15,left_of
14,10,front_of
14,12,left_of
14,G2,nonAdjacent
14,22,nonAdjacent
14,0,nonAdjacent
14,20,nonAdjacent
14,19,front_of
15,10,nonAdjacent
15,12,nonAdjacent
15,G2,nonAdjacent
15,22,nonAdjacent
15,0,nonAdjacent
15,20,nonAdjacent
15,19,right_of
10,12,left_of
10,G2,left_of
10,22,nonAdjacent
10,0,nonAdjacent
10,20,nonAdjacent
10,19,nonAdjacent
12,G2,nonAdjacent
12,22,nonAdjacent
12,0,nonAdjacent
12,20,nonAdjacent
12,19,nonAdjacent
G2,22,nonAdjacent
G2,0,left_of
G2,20,nonAdjacent
G2,19,nonAdjacent
22,0,nonAdjacent
22,20,right_of
22,19,nonAdjacent
0,20,right_of
0,19,nonAdjacent
20,19,nonAdjacent
 ,streetTopology, 
13,16,disconnected
13,17,disconnected
13,11,disconnected
13,9,disconnected
13,18,disconnected
13,23,disconnected
13,21,disconnected
13,14,connected
13,15,disconnected
13,10,connected
13,12,connected
13,G2,disconnected
13,22,disconnected
13,0,disconnected
13,20,disconnected
13,19,disconnected
16,17,connected
16,11,disconnected
16,9,disconnected
16,18,connected
16,23,connected
16,21,disconnected
16,14,disconnected
16,15,connected
16,10,disconnected
16,12,disconnected
16,G2,disconnected
16,22,connected
16,0,disconnected
16,20,disconnected
16,19,disconnected
17,11,connected
17,9,disconnected
17,18,connected
17,23,disconnected
17,21,disconnected
17,14,disconnected
17,15,connected
17,10,disconnected
17,12,connected
17,G2,disconnected
17,22,disconnected
17,0,disconnected
17,20,disconnected
17,19,disconnected
11,9,disconnected
