Object 1 , Object 2, Relations
 ,RCC8, 
110123,110133,dc
110123,110134,dc
110123,110135,dc
110123,110136,dc
110123,110137,dc
110123,110138,dc
110123,110139,dc
110123,24,dc
110123,25,dc
110123,26,dc
110123,27,dc
110123,28,dc
110123,30,dc
110123,29,dc
110124,110125,null
110124,110126,dc
110124,110127,dc
110124,110128,dc
110124,110129,dc
110124,110130,dc
110124,110131,dc
110124,110132,dc
110124,110133,dc
110124,110134,dc
110124,110135,dc
110124,110136,dc
110124,110137,dc
110124,110138,dc
110124,110139,dc
110124,24,dc
110124,25,dc
110124,26,dc
110124,27,dc
110124,28,dc
110124,30,dc
110124,29,dc
110125,110126,null
110125,110127,dc
110125,110128,dc
110125,110129,dc
110125,110130,dc
110125,110131,dc
110125,110132,dc
110125,110133,dc
110125,110134,dc
110125,110135,dc
110125,110136,dc
110125,110137,dc
110125,110138,dc
110125,110139,dc
110125,24,dc
110125,25,dc
110125,26,dc
110125,27,dc
110125,28,dc
110125,30,dc
110125,29,dc
110126,110127,null
110126,110128,dc
110126,110129,dc
110126,110130,dc
110126,110131,dc
110126,110132,dc
110126,110133,dc
110126,110134,dc
110126,110135,dc
110126,110136,dc
110126,110137,dc
110126,110138,dc
110126,110139,dc
110126,24,dc
110126,25,dc
110126,26,dc
110126,27,dc
110126,28,dc
110126,30,dc
110126,29,dc
110127,110128,null
110127,110129,dc
110127,110130,dc
110127,110131,dc
110127,110132,dc
110127,110133,dc
110127,110134,dc
110127,110135,dc
110127,110136,dc
110127,110137,dc
110127,110138,dc
110127,110139,dc
110127,24,dc
110127,25,dc
110127,26,dc
110127,27,dc
110127,28,dc
110127,30,dc
110127,29,dc
110128,110129,null
110128,110130,dc
110128,110131,dc
110128,110132,dc
110128,110133,dc
110128,110134,dc
110128,110135,dc
110128,110136,dc
110128,110137,dc
110128,110138,dc
110128,110139,dc
110128,24,dc
110128,25,dc
110128,26,dc
110128,27,dc
110128,28,dc
110128,30,dc
110128,29,dc
110129,110130,null
110129,110131,dc
110129,110132,dc
110129,110133,dc
110129,110134,dc
110129,110135,dc
110129,110136,dc
110129,110137,dc
110129,110138,dc
110129,110139,dc
110129,24,dc
110129,25,dc
110129,26,dc
110129,27,dc
110129,28,dc
110129,30,dc
110129,29,dc
110130,110131,null
110130,110132,dc
110130,110133,dc
110130,110134,dc
110130,110135,dc
110130,110136,dc
110130,110137,dc
110130,110138,dc
110130,110139,dc
110130,24,dc
110130,25,dc
110130,26,dc
110130,27,dc
110130,28,dc
110130,30,dc
110130,29,dc
110131,110132,null
110131,110133,dc
110131,110134,dc
110131,110135,dc
110131,110136,dc
110131,110137,dc
110131,110138,dc
110131,110139,dc
110131,24,dc
110131,25,dc
110131,26,dc
110131,27,dc
110131,28,dc
