Object 1 , Object 2, Relations
 ,RCC8, 
110116,110130,dc
110116,110131,dc
110116,110132,dc
110116,110133,dc
110116,110134,dc
110116,110135,dc
110116,110136,dc
110116,110137,dc
110116,110138,dc
110116,110139,dc
110116,110140,dc
110116,110141,dc
110116,110142,dc
110116,110143,dc
110116,110144,dc
110116,110145,dc
110116,110146,dc
110116,110147,dc
110116,110148,dc
110116,110149,dc
110116,110150,dc
110116,110151,dc
110116,110152,dc
110116,110153,dc
110116,110154,dc
110116,110155,dc
110116,110156,dc
110116,110157,dc
110116,110158,dc
110116,110159,dc
110116,110160,dc
110116,110161,dc
110116,110162,dc
110116,110163,dc
110116,110164,dc
110116,110165,dc
110116,110166,dc
110116,110167,dc
110116,110168,dc
110116,110169,dc
110116,110170,dc
110116,110171,dc
110116,110172,dc
110116,110173,dc
110116,22,dc
110116,23,dc
110116,24,dc
110116,29,dc
110116,30,dc
110116,25,dc
110116,26,dc
110116,27,dc
110116,28,dc
110117,110118,null
110117,110119,null
110117,110120,dc
110117,110121,dc
110117,110122,dc
110117,110123,dc
110117,110124,dc
110117,110125,dc
110117,110126,dc
110117,110127,dc
110117,110128,dc
110117,110129,dc
110117,110130,dc
110117,110131,dc
110117,110132,dc
110117,110133,dc
110117,110134,dc
110117,110135,dc
110117,110136,dc
110117,110137,dc
110117,110138,dc
110117,110139,dc
110117,110140,dc
110117,110141,dc
110117,110142,dc
110117,110143,dc
110117,110144,dc
110117,110145,dc
110117,110146,dc
110117,110147,dc
110117,110148,dc
110117,110149,dc
110117,110150,dc
110117,110151,dc
110117,110152,dc
110117,110153,dc
110117,110154,dc
110117,110155,dc
110117,110156,dc
110117,110157,dc
110117,110158,dc
110117,110159,dc
110117,110160,dc
110117,110161,dc
110117,110162,dc
110117,110163,dc
110117,110164,dc
110117,110165,dc
110117,110166,dc
110117,110167,dc
110117,110168,dc
110117,110169,dc
110117,110170,dc
110117,110171,dc
110117,110172,dc
110117,110173,dc
110117,22,dc
110117,23,dc
110117,24,dc
110117,29,dc
110117,30,dc
110117,25,dc
110117,26,dc
110117,27,dc
110117,28,dc
110118,110119,dc
110118,110120,dc
110118,110121,dc
110118,110122,dc
110118,110123,dc
110118,110124,dc
110118,110125,dc
110118,110126,dc
110118,110127,dc
110118,110128,dc
110118,110129,dc
110118,110130,dc
110118,110131,dc
110118,110132,dc
110118,110133,dc
110118,110134,dc
110118,110135,dc
110118,110136,dc
110118,110137,dc
110118,110138,dc
110118,110139,dc
110118,110140,dc
110118,110141,dc
110118,110142,dc
110118,110143,dc
110118,110144,dc
110118,110145,dc
110118,110146,dc
110118,110147,dc
110118,110148,dc
110118,110149,dc
110118,110150,dc
110118,110151,dc
110118,110152,dc
110118,110153,dc
110118,110154,dc
110118,110155,dc
110118,110156,dc
110118,110157,dc
110118,110158,dc
110118,110159,dc
110118,110160,dc
110118,110161,dc
110118,110162,dc
110118,110163,dc
110118,110164,dc
110118,110165,dc
110118,110166,dc
110118,110167,dc
110118,110168,dc
110118,110169,dc
110118,110170,dc
110118,110171,dc
110118,110172,dc
110118,110173,dc
110118,22,dc
110118,23,dc
110118,24,dc
110118,29,dc
110118,30,dc
110118,25,dc
110118,26,dc
110118,27,dc
110118,28,dc
110119,110120,null
110119,110121,dc
110119,110122,dc
110119,110123,dc
110119,110124,dc
110119,110125,dc
110119,110126,dc
110119,110127,dc
110119,110128,dc
110119,110129,dc
110119,110130,dc
110119,110131,dc
110119,110132,dc
110119,110133,dc
