Object 1, Object 2, Relations
 ,RCC8, 
13,43,nonAdjacent
15,36,nonAdjacent
15,31,nonAdjacent
15,32,nonAdjacent
15,33,left
15,34,nonAdjacent
15,35,nonAdjacent
15,42,nonAdjacent
15,43,nonAdjacent
17,36,nonAdjacent
17,31,nonAdjacent
17,32,nonAdjacent
17,33,left
17,34,nonAdjacent
17,35,nonAdjacent
17,42,nonAdjacent
17,43,nonAdjacent
19,36,nonAdjacent
19,31,left
19,32,left
19,33,nonAdjacent
19,34,nonAdjacent
19,35,nonAdjacent
19,42,nonAdjacent
19,43,nonAdjacent
28,36,nonAdjacent
28,31,left
28,32,nonAdjacent
28,33,nonAdjacent
28,34,nonAdjacent
28,35,nonAdjacent
28,42,nonAdjacent
28,43,nonAdjacent
27,36,nonAdjacent
27,31,nonAdjacent
27,32,nonAdjacent
27,33,nonAdjacent
27,34,nonAdjacent
27,35,nonAdjacent
27,42,nonAdjacent
27,43,nonAdjacent
26,36,nonAdjacent
26,31,nonAdjacent
26,32,nonAdjacent
26,33,nonAdjacent
26,34,nonAdjacent
26,35,nonAdjacent
26,42,nonAdjacent
26,43,right
25,36,nonAdjacent
25,31,nonAdjacent
25,32,nonAdjacent
25,33,nonAdjacent
25,34,nonAdjacent
25,35,left
25,42,nonAdjacent
25,43,right
24,36,nonAdjacent
24,31,nonAdjacent
24,32,nonAdjacent
24,33,nonAdjacent
24,34,nonAdjacent
24,35,crosses
24,42,right
24,43,right
 ,opra, 
3,5,nonAdjacent
3,6,nonAdjacent
3,9,nonAdjacent
3,10,nonAdjacent
3,12,nonAdjacent
3,14,nonAdjacent
3,16,nonAdjacent
3,18,nonAdjacent
3,20,nonAdjacent
3,21,nonAdjacent
3,22,nonAdjacent
3,23,nonAdjacent
3,29,nonAdjacent
3,30,nonAdjacent
3,0,nonAdjacent
3,1,nonAdjacent
3,2,half_left
3,4,left_of
3,7,nonAdjacent
3,8,nonAdjacent
3,11,nonAdjacent
3,13,nonAdjacent
3,15,nonAdjacent
3,17,nonAdjacent
3,19,nonAdjacent
3,28,nonAdjacent
3,27,nonAdjacent
3,26,nonAdjacent
3,25,nonAdjacent
3,24,nonAdjacent
5,6,left_of
5,9,nonAdjacent
5,10,nonAdjacent
5,12,nonAdjacent
5,14,nonAdjacent
5,16,nonAdjacent
5,18,nonAdjacent
5,20,nonAdjacent
5,21,nonAdjacent
5,22,left_of
5,23,nonAdjacent
5,29,nonAdjacent
5,30,nonAdjacent
5,0,nonAdjacent
5,1,nonAdjacent
5,2,nonAdjacent
5,4,right_of
5,7,right_of
5,8,nonAdjacent
5,11,nonAdjacent
5,13,nonAdjacent
5,15,nonAdjacent
5,17,nonAdjacent
5,19,nonAdjacent
5,28,nonAdjacent
5,27,nonAdjacent
5,26,nonAdjacent
5,25,nonAdjacent
5,24,nonAdjacent
6,9,nonAdjacent
6,10,nonAdjacent
6,12,nonAdjacent
6,14,nonAdjacent
6,16,nonAdjacent
6,18,nonAdjacent
6,20,nonAdjacent
6,21,nonAdjacent
6,22,half_left
6,23,nonAdjacent
6,29,nonAdjacent
6,30,nonAdjacent
6,0,nonAdjacent
6,1,left_of
6,2,left_of
6,4,nonAdjacent
6,7,nonAdjacent
6,8,nonAdjacent
6,11,nonAdjacent
6,13,nonAdjacent
6,15,nonAdjacent
6,17,nonAdjacent
6,19,nonAdjacent
6,28,nonAdjacent
6,27,nonAdjacent
6,26,nonAdjacent
6,25,nonAdjacent
6,24,nonAdjacent
9,10,nonAdjacent
9,12,nonAdjacent
9,14,nonAdjacent
9,16,nonAdjacent
9,18,nonAdjacent
9,20,nonAdjacent
9,21,nonAdjacent
9,22,nonAdjacent
9,23,nonAdjacent
9,29,nonAdjacent
9,30,nonAdjacent
9,0,nonAdjacent
9,1,nonAdjacent
9,2,nonAdjacent
9,4,nonAdjacent
9,7,front_of
9,8,left_of
9,11,nonAdjacent
9,13,nonAdjacent
9,15,nonAdjacent
9,17,nonAdjacent
9,19,nonAdjacent
9,28,nonAdjacent
9,27,nonAdjacent
9,26,nonAdjacent
9,25,nonAdjacent
9,24,nonAdjacent
10,12,nonAdjacent
10,14,nonAdjacent
10,16,nonAdjacent
10,18,nonAdjacent
10,20,nonAdjacent
10,21,nonAdjacent
10,22,nonAdjacent
10,23,nonAdjacent
10,29,nonAdjacent
10,30,nonAdjacent
10,0,nonAdjacent
10,1,nonAdjacent
10,2,nonAdjacent
10,4,nonAdjacent
10,7,nonAdjacent
10,8,left_of
10,11,left_of
10,13,nonAdjacent
10,15,nonAdjacent
10,17,nonAdjacent
10,19,nonAdjacent
10,28,nonAdjacent
10,27,nonAdjacent
10,26,nonAdjacent
10,25,nonAdjacent
10,24,nonAdjacent
12,14,nonAdjacent
12,16,nonAdjacent
12,18,nonAdjacent
12,20,nonAdjacent
12,21,nonAdjacent
12,22,nonAdjacent
12,23,nonAdjacent
12,29,nonAdjacent
12,30,nonAdjacent
12,0,nonAdjacent
12,1,nonAdjacent
12,2,nonAdjacent
12,4,nonAdjacent
12,7,nonAdjacent
12,8,nonAdjacent
12,11,left_of
12,13,left_of
12,15,nonAdjacent
12,17,nonAdjacent
12,19,nonAdjacent
12,28,nonAdjacent
12,27,nonAdjacent
12,26,nonAdjacent
12,25,nonAdjacent
12,24,nonAdjacent
14,16,nonAdjacent
14,18,nonAdjacent
14,20,nonAdjacent
14,21,nonAdjacent
14,22,nonAdjacent
14,23,nonAdjacent
14,29,nonAdjacent
14,30,nonAdjacent
14,0,nonAdjacent
14,1,nonAdjacent
14,2,nonAdjacent
14,4,nonAdjacent
14,7,nonAdjacent
14,8,nonAdjacent
14,11,nonAdjacent
14,13,left_of
14,15,left_of
14,17,nonAdjacent
14,19,nonAdjacent
14,28,nonAdjacent
14,27,nonAdjacent
14,26,nonAdjacent
14,25,nonAdjacent
14,24,nonAdjacent
16,18,nonAdjacent
16,20,nonAdjacent
16,21,nonAdjacent
16,22,nonAdjacent
16,23,nonAdjacent
16,29,nonAdjacent
16,30,nonAdjacent
16,0,nonAdjacent
16,1,nonAdjacent
16,2,nonAdjacent
16,4,nonAdjacent
16,7,nonAdjacent
16,8,nonAdjacent
16,11,nonAdjacent
16,13,nonAdjacent
16,15,left_of
16,17,left_of
16,19,nonAdjacent
16,28,nonAdjacent
16,27,nonAdjacent
16,26,nonAdjacent
16,25,nonAdjacent
16,24,nonAdjacent
18,20,nonAdjacent
18,21,nonAdjacent
18,22,nonAdjacent
18,23,nonAdjacent
18,29,nonAdjacent
18,30,nonAdjacent
18,0,nonAdjacent
18,1,nonAdjacent
18,2,nonAdjacent
18,4,nonAdjacent
18,7,nonAdjacent
18,8,nonAdjacent
18,11,nonAdjacent
18,13,nonAdjacent
18,15,nonAdjacent
18,17,left_of
18,19,left_of
18,28,nonAdjacent
18,27,nonAdjacent
18,26,nonAdjacent
18,25,nonAdjacent
18,24,nonAdjacent
20,21,right_of
20,22,front_of
20,23,nonAdjacent
20,29,nonAdjacent
20,30,nonAdjacent
20,0,nonAdjacent
20,1,nonAdjacent
20,2,nonAdjacent
20,4,nonAdjacent
20,7,nonAdjacent
20,8,nonAdjacent
20,11,nonAdjacent
20,13,nonAdjacent
20,15,nonAdjacent
20,17,nonAdjacent
20,19,right_of
20,28,none
20,27,nonAdjacent
20,26,nonAdjacent
20,25,nonAdjacent
20,24,nonAdjacent
21,22,left_of
21,23,nonAdjacent
21,29,nonAdjacent
21,30,nonAdjacent
21,0,nonAdjacent
21,1,nonAdjacent
21,2,nonAdjacent
21,4,nonAdjacent
21,7,nonAdjacent
21,8,nonAdjacent
21,11,nonAdjacent
21,13,nonAdjacent
21,15,nonAdjacent
21,17,nonAdjacent
21,19,nonAdjacent
21,28,nonAdjacent
21,27,nonAdjacent
21,26,left_of
21,25,left_of
21,24,nonAdjacent
22,23,nonAdjacent
22,29,nonAdjacent
22,30,nonAdjacent
22,0,nonAdjacent
22,1,nonAdjacent
22,2,nonAdjacent
22,4,nonAdjacent
22,7,nonAdjacent
22,8,nonAdjacent
22,11,nonAdjacent
22,13,nonAdjacent
22,15,nonAdjacent
22,17,nonAdjacent
22,19,nonAdjacent
22,28,nonAdjacent
22,27,nonAdjacent
22,26,nonAdjacent
22,25,nonAdjacent
22,24,nonAdjacent
23,29,nonAdjacent
23,30,nonAdjacent
23,0,right_of
23,1,right_of
23,2,nonAdjacent
23,4,nonAdjacent
23,7,nonAdjacent
23,8,nonAdjacent
23,11,nonAdjacent
23,13,nonAdjacent
23,15,nonAdjacent
23,17,nonAdjacent
23,19,nonAdjacent
23,28,nonAdjacent
23,27,nonAdjacent
23,26,nonAdjacent
23,25,right_of
23,24,left_of
29,30,nonAdjacent
29,0,nonAdjacent
29,1,nonAdjacent
29,2,nonAdjacent
29,4,nonAdjacent
29,7,nonAdjacent
29,8,nonAdjacent
29,11,nonAdjacent
29,13,nonAdjacent
29,15,nonAdjacent
29,17,nonAdjacent
29,19,nonAdjacent
29,28,nonAdjacent
29,27,front_of
29,26,left_of
29,25,nonAdjacent
29,24,nonAdjacent
30,0,nonAdjacent
30,1,nonAdjacent
30,2,nonAdjacent
30,4,nonAdjacent
30,7,nonAdjacent
30,8,nonAdjacent
30,11,nonAdjacent
30,13,nonAdjacent
30,15,nonAdjacent
30,17,nonAdjacent
30,19,nonAdjacent
30,28,front_of
30,27,left_of
30,26,nonAdjacent
30,25,nonAdjacent
30,24,nonAdjacent
0,1,front_of
0,2,nonAdjacent
0,4,nonAdjacent
0,7,nonAdjacent
0,8,nonAdjacent
0,11,nonAdjacent
0,13,nonAdjacent
0,15,nonAdjacent
0,17,nonAdjacent
0,19,nonAdjacent
0,28,nonAdjacent
0,27,nonAdjacent
0,26,nonAdjacent
0,25,nonAdjacent
0,24,nonAdjacent
1,2,half_right
1,4,nonAdjacent
1,7,nonAdjacent
1,8,nonAdjacent
1,11,nonAdjacent
1,13,nonAdjacent
1,15,nonAdjacent
1,17,nonAdjacent
1,19,nonAdjacent
1,28,nonAdjacent
1,27,nonAdjacent
1,26,nonAdjacent
1,25,nonAdjacent
1,24,nonAdjacent
2,4,left_of
2,7,nonAdjacent
2,8,nonAdjacent
2,11,nonAdjacent
2,13,nonAdjacent
2,15,nonAdjacent
2,17,nonAdjacent
2,19,nonAdjacent
2,28,nonAdjacent
2,27,nonAdjacent
2,26,nonAdjacent
2,25,nonAdjacent
2,24,nonAdjacent
4,7,half_right
4,8,nonAdjacent
4,11,nonAdjacent
4,13,nonAdjacent
4,15,nonAdjacent
4,17,nonAdjacent
4,19,nonAdjacent
4,28,nonAdjacent
4,27,nonAdjacent
4,26,nonAdjacent
4,25,nonAdjacent
4,24,nonAdjacent
7,8,left_of
7,11,nonAdjacent
7,13,nonAdjacent
7,15,nonAdjacent
7,17,nonAdjacent
7,19,nonAdjacent
7,28,nonAdjacent
7,27,nonAdjacent
7,26,nonAdjacent
7,25,nonAdjacent
7,24,nonAdjacent
8,11,front_of
8,13,nonAdjacent
8,15,nonAdjacent
8,17,nonAdjacent
8,19,nonAdjacent
8,28,nonAdjacent
8,27,nonAdjacent
8,26,nonAdjacent
8,25,nonAdjacent
8,24,nonAdjacent
11,13,front_of
11,15,nonAdjacent
11,17,nonAdjacent
11,19,nonAdjacent
11,28,nonAdjacent
11,27,nonAdjacent
11,26,nonAdjacent
11,25,nonAdjacent
11,24,nonAdjacent
13,15,half_left
13,17,nonAdjacent
13,19,nonAdjacent
13,28,nonAdjacent
13,27,nonAdjacent
13,26,nonAdjacent
13,25,nonAdjacent
13,24,nonAdjacent
15,17,half_left
15,19,nonAdjacent
15,28,nonAdjacent
15,27,nonAdjacent
15,26,nonAdjacent
15,25,nonAdjacent
15,24,nonAdjacent
17,19,front_of
17,28,nonAdjacent
17,27,nonAdjacent
17,26,nonAdjacent
17,25,nonAdjacent
17,24,nonAdjacent
19,28,right_of
19,27,nonAdjacent
19,26,nonAdjacent
19,25,nonAdjacent
19,24,nonAdjacent
28,27,left_of
28,26,nonAdjacent
28,25,nonAdjacent
28,24,nonAdjacent
27,26,left_of
27,25,nonAdjacent
27,24,nonAdjacent
26,25,front_of
26,24,nonAdjacent
25,24,right_of
 ,streetTopology, 
3,5,disconnected
3,6,disconnected
3,9,disconnected
3,10,disconnected
3,12,disconnected
3,14,disconnected
3,16,disconnected
3,18,disconnected
3,20,disconnected
3,21,disconnected
3,22,disconnected
3,23,disconnected
3,29,disconnected
3,30,disconnected
3,0,disconnected
3,1,disconnected
3,2,connected
3,4,connected
3,7,disconnected
3,8,disconnected
3,11,disconnected
3,13,disconnected
3,15,disconnected
3,17,disconnected
3,19,disconnected
3,28,disconnected
3,27,disconnected
3,26,disconnected
3,25,disconnected
3,24,disconnected
5,6,connected
5,9,disconnected
5,10,disconnected
5,12,disconnected
5,14,disconnected
5,16,disconnected
5,18,disconnected
5,20,disconnected
5,21,disconnected
5,22,connected
5,23,disconnected
5,29,disconnected
5,30,disconnected
5,0,disconnected
5,1,disconnected
5,2,disconnected
5,4,connected
5,7,connected
5,8,disconnected
5,11,disconnected
5,13,disconnected
5,15,disconnected
5,17,disconnected
5,19,disconnected
5,28,disconnected
5,27,disconnected
5,26,disconnected
5,25,disconnected
5,24,disconnected
6,9,disconnected
6,10,disconnected
6,12,disconnected
6,14,disconnected
6,16,disconnected
6,18,disconnected
6,20,disconnected
6,21,disconnected
6,22,connected
6,23,disconnected
6,29,disconnected
6,30,disconnected
6,0,disconnected
6,1,connected
6,2,connected
6,4,disconnected
6,7,disconnected
6,8,disconnected
6,11,disconnected
6,13,disconnected
6,15,disconnected
6,17,disconnected
6,19,disconnected
6,28,disconnected
6,27,disconnected
6,26,disconnected
6,25,disconnected
6,24,disconnected
9,10,disconnected
9,12,disconnected
9,14,disconnected
9,16,disconnected
9,18,disconnected
9,20,disconnected
9,21,disconnected
9,22,disconnected
9,23,disconnected
9,29,disconnected
9,30,disconnected
9,0,disconnected
9,1,disconnected
9,2,disconnected
9,4,disconnected
9,7,connected
9,8,connected
9,11,disconnected
9,13,disconnected
9,15,disconnected
9,17,disconnected
9,19,disconnected
9,28,disconnected
9,27,disconnected
9,26,disconnected
9,25,disconnected
9,24,disconnected
10,12,disconnected
10,14,disconnected
10,16,disconnected
10,18,disconnected
