Completeness:,77.8%
Generalization:,9
Correctness:    ,      Precision: 0.98           Recall: 0.59           F-Score: nil
Completeness of Sketch Map:,,,ID: sketchmap
Spatial Features,Features in Base map,Drawn Features,Completeness (%)
Street segments,20,17,85
Landmarks,17,12,70.59
Missing Features / Extra Features,11,0,0
Overall Completeness:,,,77.8
Generalization :
Type,Count
Streets
Omission Merge,4
Omission Merge (Multi-Multi),1
Abstraction to show existence,1
Junctions
Junction Merge,1
Roundabout Collapse,1
Buildings
Collapse,0
Amalgamation,0
Abstraction to show existence,1
Correctness of sketch map:
Considered Qulitative Spatial Aspects,Relations in Base Map,Relation in Sketch Map,Correct Relations,Wrong Relations,Missing Relations,Accuracy Rate (%)
Topological Relations between Landmarks and Regions,136,66,64,2,70,96.97
Linear Ordering of Landmarks along Street-segments,120,55,55,0,65,100
Left-Right Relations of Landmarks wrt. Street-segments,26,19,18,0,8,94.74
Topological Relations between Street-segments and Regions/Landmarks,340,204,204,0,136,100
Connectivity of Street-segments,190,136,136,0,54,100
Relative Orientation of Connected Street-segments,30,25,16,9,5,64
